Name,Traders Family
Start Date,8/1/21
End Date,12/31/23

Date,Redownloads,First-Time Downloads
3/15/23,11.0,20.0
3/16/23,14.0,21.0
3/17/23,16.0,20.0
3/18/23,11.0,20.0
3/19/23,14.0,19.0
3/20/23,22.0,21.0
3/21/23,4.0,15.0
3/22/23,16.0,27.0
3/23/23,14.0,15.0
3/24/23,15.0,27.0
3/25/23,14.0,18.0
3/26/23,9.0,23.0
3/27/23,16.0,25.0
3/28/23,21.0,24.0
3/29/23,12.0,26.0
3/30/23,11.0,26.0
3/31/23,10.0,18.0
4/1/23,16.0,38.0
4/2/23,11.0,28.0
4/3/23,20.0,24.0
4/4/23,18.0,23.0
4/5/23,14.0,17.0
4/6/23,12.0,24.0
4/7/23,10.0,17.0
4/8/23,12.0,17.0
4/9/23,10.0,23.0
4/10/23,13.0,25.0
4/11/23,18.0,26.0
4/12/23,15.0,26.0
4/13/23,18.0,18.0
4/14/23,19.0,19.0
4/15/23,6.0,21.0
4/16/23,5.0,10.0
4/17/23,12.0,18.0
4/18/23,5.0,23.0
4/19/23,11.0,18.0
4/20/23,4.0,18.0
4/21/23,4.0,13.0
4/22/23,6.0,15.0
4/23/23,11.0,20.0
4/24/23,12.0,7.0
4/25/23,13.0,17.0
4/26/23,12.0,14.0
4/27/23,14.0,29.0
4/28/23,15.0,14.0
4/29/23,11.0,15.0
4/30/23,8.0,15.0
5/1/23,16.0,13.0
5/2/23,14.0,21.0
5/3/23,6.0,15.0
5/4/23,12.0,21.0
5/5/23,9.0,14.0
5/6/23,19.0,29.0
5/7/23,16.0,24.0
5/8/23,18.0,30.0
5/9/23,10.0,31.0
5/10/23,8.0,30.0
5/11/23,8.0,20.0
5/12/23,11.0,30.0
5/13/23,12.0,18.0
5/14/23,7.0,30.0
5/15/23,11.0,27.0
5/16/23,11.0,22.0
5/17/23,19.0,18.0
5/18/23,12.0,30.0
5/19/23,14.0,34.0
5/20/23,11.0,28.0
5/21/23,6.0,30.0
5/22/23,11.0,22.0
5/23/23,31.0,33.0
5/24/23,12.0,26.0
5/25/23,20.0,30.0
5/26/23,20.0,32.0
5/27/23,18.0,22.0
5/28/23,8.0,25.0
5/29/23,13.0,21.0
5/30/23,16.0,14.0
5/31/23,14.0,21.0
6/1/23,14.0,22.0
6/2/23,13.0,20.0
6/3/23,18.0,35.0
6/4/23,16.0,28.0
6/5/23,16.0,13.0
6/6/23,11.0,33.0
6/7/23,16.0,31.0
6/8/23,15.0,30.0
6/9/23,9.0,23.0
6/10/23,16.0,22.0
6/11/23,11.0,36.0
6/12/23,21.0,33.0
6/13/23,19.0,41.0
6/14/23,28.0,29.0
6/15/23,17.0,34.0
6/16/23,19.0,22.0
6/17/23,9.0,28.0
6/18/23,9.0,27.0
6/19/23,15.0,22.0
6/20/23,13.0,26.0
6/21/23,14.0,26.0
6/22/23,15.0,22.0
6/23/23,5.0,18.0
6/24/23,10.0,20.0
6/25/23,12.0,19.0
6/26/23,23.0,26.0
6/27/23,12.0,20.0
6/28/23,14.0,16.0
6/29/23,10.0,15.0
6/30/23,15.0,16.0
7/1/23,8.0,16.0
7/2/23,6.0,22.0
7/3/23,17.0,16.0
7/4/23,11.0,16.0
7/5/23,5.0,24.0
7/6/23,12.0,22.0
7/7/23,14.0,25.0
7/8/23,10.0,18.0
7/9/23,9.0,21.0
7/10/23,7.0,19.0
7/11/23,16.0,22.0
7/12/23,12.0,26.0
7/13/23,17.0,34.0
7/14/23,9.0,16.0
7/15/23,14.0,23.0
7/16/23,11.0,14.0
7/17/23,17.0,24.0
7/18/23,12.0,23.0
7/19/23,18.0,20.0
7/20/23,14.0,20.0
7/21/23,10.0,17.0
7/22/23,7.0,21.0
7/23/23,5.0,27.0
7/24/23,13.0,25.0
7/25/23,12.0,32.0
7/26/23,14.0,28.0
7/27/23,9.0,26.0
7/28/23,17.0,46.0
7/29/23,14.0,32.0
7/30/23,8.0,24.0
7/31/23,10.0,23.0
8/1/23,14.0,39.0
8/2/23,12.0,38.0
8/3/23,11.0,30.0
8/4/23,12.0,30.0
8/5/23,19.0,26.0
8/6/23,20.0,61.0
8/7/23,18.0,41.0
8/8/23,17.0,56.0
8/9/23,11.0,45.0
8/10/23,14.0,54.0
8/11/23,7.0,54.0
8/12/23,16.0,56.0
8/13/23,13.0,59.0
8/14/23,15.0,40.0
8/15/23,11.0,42.0
8/16/23,13.0,45.0
8/17/23,8.0,37.0
8/18/23,12.0,28.0
8/19/23,15.0,32.0
8/20/23,12.0,36.0
8/21/23,18.0,44.0
8/22/23,22.0,58.0
8/23/23,16.0,41.0
8/24/23,17.0,101.0
8/25/23,19.0,84.0
8/26/23,14.0,70.0
8/27/23,14.0,56.0
8/28/23,18.0,50.0
8/29/23,13.0,53.0
8/30/23,19.0,40.0
8/31/23,22.0,45.0
9/1/23,19.0,49.0
9/2/23,16.0,57.0
9/3/23,25.0,39.0
9/4/23,22.0,60.0
9/5/23,17.0,40.0
9/6/23,21.0,44.0
9/7/23,20.0,40.0
9/8/23,16.0,40.0
9/9/23,10.0,35.0
9/10/23,13.0,36.0
9/11/23,10.0,29.0
9/12/23,14.0,26.0
9/13/23,10.0,41.0
9/14/23,12.0,28.0
9/15/23,13.0,36.0
9/16/23,10.0,35.0
9/17/23,12.0,35.0
9/18/23,19.0,43.0
9/19/23,16.0,31.0
9/20/23,11.0,40.0
9/21/23,13.0,38.0
9/22/23,7.0,33.0
9/23/23,13.0,28.0
9/24/23,9.0,29.0
9/25/23,8.0,26.0
9/26/23,7.0,36.0
9/27/23,11.0,42.0
9/28/23,13.0,32.0
9/29/23,14.0,39.0
9/30/23,25.0,36.0
10/1/23,27.0,43.0
10/2/23,20.0,41.0
10/3/23,21.0,37.0
10/4/23,16.0,28.0
10/5/23,13.0,28.0
10/6/23,15.0,36.0
10/7/23,5.0,28.0
10/8/23,17.0,39.0
10/9/23,10.0,35.0
